 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    6   1134.1465      3.8570    6.430707E+01
    7    131.7922      7.0479    8.622381E+00
    8    353.6324      9.4612    2.622088E+01
    9     84.2158     11.5946    6.979003E+00
   10    193.3475     13.5818    1.770941E+01
   11     64.2977     15.4805    6.450145E+00
   12    126.4808     17.3211    1.379148E+01
   13     51.4631     19.1217    6.060465E+00
   14     89.9464     20.8938    1.137701E+01
   15     42.8831     22.6455    5.798212E+00
   16     68.0122     24.3823    9.789195E+00
   17     35.8888     26.1086    5.478646E+00
   18     53.6616     27.8276    8.659874E+00
   19     30.5286     29.5420    5.192993E+00
   20     43.7605     31.2538    7.825505E+00
   21     26.8474     32.9649    5.035202E+00
   22     36.5427     34.6767    7.172315E+00
   23     23.3317     36.3906    4.782891E+00
   24     31.3303     38.1079    6.695868E+00
   25     20.4884     39.8295    4.557477E+00
   26     28.1037     41.5566    6.496592E+00
   27     18.1057     43.2900    4.343344E+00
   28     24.9156     45.0306    6.194303E+00
   29     16.5301     46.7794    4.253767E+00
   30     22.4954     48.5372    5.985078E+00
   31     15.1555     50.3049    4.164444E+00
   32     20.5765     52.0834    5.833525E+00
   33     13.9116     53.8735    4.065352E+00
   34     18.9887     55.6760    5.714662E+00
   35     12.9933     57.4921    4.023686E+00
   36     17.3633     59.3225    5.528424E+00
   37     12.5583     61.1683    4.108075E+00
   38     16.2663     63.0305    5.462931E+00
   39     12.0146     64.9103    4.139831E+00
   40     15.0487     66.8087    5.316554E+00
   41     11.6725     68.7270    4.225598E+00
   42     14.1716     70.6665    5.253927E+00
   43     11.5591     72.6286    4.386211E+00
   44     13.4033     74.6148    5.202930E+00
   45     10.8667     76.6268    4.313058E+00
   46     12.4301     78.6663    5.042011E+00
   47     10.6640     80.7352    4.418654E+00
   48     11.8237     82.8356    5.002319E+00
   49     10.0017     84.9699    4.318722E+00
   50     10.8456     87.1405    4.777725E+00
   51      9.9954     89.3504    4.490386E+00
   52     10.0909     91.6026    4.621313E+00
   53      8.8830     93.9007    4.145622E+00
   54      8.1580     96.2487    3.878434E+00
   55      7.9409     98.6510    3.844492E+00
   56      8.3453    101.1130    4.113075E+00
   57      7.7881    103.6405    3.906390E+00
   58      9.1173    106.2404    4.652628E+00
   59      8.0553    108.9210    4.180949E+00
   60      9.7663    111.6919    5.154205E+00
   61      7.4511    114.5649    3.997346E+00
   62      9.7424    117.5541    5.311561E+00
   63      7.2597    120.6775    4.021320E+00
   64      8.4940    123.9577    4.779123E+00
   65      5.5286    127.4242    3.158877E+00
   66      4.5619    131.1169    2.646328E+00
   67      1.7444    135.0920    1.027132E+00
   68      3.4284    139.4324    2.048605E+00
   69      0.9051    144.2715    5.487286E-01
   70      4.2879    149.8489    2.636999E+00
   71      0.6349    156.6889    3.959931E-01
   72      8.1756    166.6039    5.170516E+00
