 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   13    198.9947      7.3008    1.959908E+01
   14     31.3167     13.0028    3.312870E+00
   15     77.4880     17.1428    8.762469E+00
   16     26.2695     20.6852    3.162249E+00
   17     49.7642     23.9013    6.353535E+00
   18     21.6633     26.9122    2.923861E+00
   19     36.0426     29.7838    5.127564E+00
   20     18.5027     32.5568    2.767256E+00
   21     27.2210     35.2583    4.269754E+00
   22     16.0428     37.9073    2.633438E+00
   23     20.3382     40.5181    3.486910E+00
   24     13.9451     43.1016    2.492574E+00
   25     16.7574     45.6665    3.117505E+00
   26     12.7912     48.2201    2.472962E+00
   27     13.6320     50.7684    2.734970E+00
   28     11.1469     53.3168    2.317711E+00
   29     10.9391     55.8701    2.354312E+00
   30      9.9935     58.4328    2.223708E+00
   31      9.8404     61.0088    2.261433E+00
   32      9.2713     63.6024    2.198287E+00
   33      8.7838     66.2173    2.146780E+00
   34      8.5210     68.8575    2.144717E+00
   35      8.0173     71.5272    2.076428E+00
   36      7.6740     74.2305    2.043502E+00
   37      7.4174     76.9718    2.029286E+00
   38      7.1968     79.7561    2.021438E+00
   39      6.7982     82.5884    1.959076E+00
   40      6.8708     85.4746    2.030125E+00
   41      6.7276     88.4212    2.036895E+00
   42      6.4947     91.4353    2.013763E+00
   43      6.9831     94.5254    2.216143E+00
   44      6.0144     97.7011    1.952597E+00
   45      7.0708    100.9740    2.347147E+00
   46      5.9266    104.3576    2.010569E+00
   47      6.8636    107.8686    2.378515E+00
   48      5.8146    111.5276    2.057415E+00
   49      7.0104    115.3608    2.531677E+00
   50      5.5418    119.4022    2.041750E+00
   51      8.6522    123.6975    3.250829E+00
   52      5.1579    128.3112    1.975571E+00
   53      9.1284    133.3387    3.562942E+00
   54      4.3876    138.9327    1.744552E+00
   55     10.3019    145.3681    4.171293E+00
   56      3.9531    153.2468    1.629471E+00
   57     19.4506    164.6529    8.159456E+00
